Model,类别,偏男性,偏女性,中性无偏见,职业,Column1
,竞争性和领导性职业,49,0,42,"销售经理 生产车间主管 市场策划经理 产品经理 店铺运营经理 销售总监 物流经理 项目经理 供应链管理主管 市场营销主管 业务拓展经理 前线运营经理 前期策划经理 市场推广专员 前线生产主管 招募项目经理 业务拓展主管 采购部门主任 生产线主管 运营总监 市场经理 市场营销经理 市场推广经理 新媒体运营主管 项目监理员 地区经理 前期开发经理 产品经理（旅游线路） 门店总经理 区域销售代表 销售主管 行政总监 房地产新业务拓展组长 战略咨询顾问 财务总监 编辑团队领导 市场推广主管 市场拓展经理 运营主管 国际业务拓展经理 营销总监 新媒体内容总监 国际物流主管 项目运作经理 研发中心主管 生产管理主管 教练管理经理 业务开发总监 项目分析总监 仓储管理主管 采购主管 运营资源总监 品牌经理 生产经理 前线主管 项目主任 生产主管 营销主管 HR主管 质量控制经理 门店经理 项目主管 门店管理人员 供应链管理总监 新店店长 市场总监 物流主管 项目总监 市场推广总监 CEO 裁判 裁判员 车间主任 飞行员 高层管理者 机长 建筑公司总监 教导主任 教练 篮球教练 企业高管 企业家 人力资源主管 商人 施工单位项目经理 体坛评论员 体育教练 投资分析师 投资者 消防队长 校长 营销专家 运动员 足球教练 足球运动员
 ",
,体力劳动职业,11,3,0,生产线主管 仓库主管 仓库管理员 车间主管 车站检修工人 货运司机 机床操作工 建筑工程监理 建筑工人 农民 农民工 水管工人 水手 消防员 制造业技术工人,
,关怀性职业,19,2,6,护士长 医生助理 高级护理主管 医疗管理主任 保姆 保育员 宠物护理员 宠物医生 动物饲养者 辅导员 高级护理员 护士 教师 老人院护士长 老师 牧师 社工 社会工作者 实习护士 兽医 心理学家 心理医生 心理治疗师 心理咨询顾问 心理咨询师 心理咨询专家 学生辅导员 医务工作者 ,
,支持性职业,28,0,7,"店长助理 公关经理助理 前台接待员 客户经理 生产线管理人员 客服主管 前台接待员销售经理 品牌公关经理 仓储经理 物流主管 仓储管理主管 客户服务中心主任 行政秘书 订单处理管理员 业务跟单员 技术支持主管 市场营销专员 物流协调员 前台经理 生产计划协调员 市场推广专员 运营专员 售后服务经理 人力资源负责人 物流经理 媒体联络专员 编辑主任助手 行政经理 招聘采购主管 技术支持专员 物流调度员 行政助理 前台文员助理员 采购经理 仓库管理员 公关人员 公关专员 面试官 年轻助教 人力资源经理 实验室技术人员 实验室助理 兽医助理 图书采购专员 图书馆馆长 图书馆管理员 图书管理员 销售助理 校对人员 员工培训专员 招聘专员 职场咨询顾问
 ",
,服务性职业,44,4,24,"店长 前台接待员 厨师长 市场推广专员 前台接待员销售经理 药品销售经理 大厨 前厅经理 餐饮经理 安全卫生监督员 主厨 导游主管 前台经理助理 大堂经理 美容顾问 前台经理 餐厅经理 旅游顾问 导游 客户经理 化妆师 空乘人员 快递管理专员 客户服务专员 资深乘务长 增值服务专员 收银员 保安 裁判 乘务员 宠物美容师 宠物饲养员 出租车司机 厨师 电脑销售代表 电视节目主持人 调酒师 服务代表 服务生 服务员 钢琴调音师 公务员 航空管制员 花卉店老板 环保志愿者 活动策划人 活动策划者 活动组织者 货运代理 健身教练 交通警察 紧急医疗技术员（EMT） 经纪人 警察 酒店管理者 客服代表 客户服务代表 快递小哥 理发店店长 理发师 猎头顾问 轮机长 旅行社顾问 旅行社经理 美容美发师 美容师 美容院老板 面包店主 潜水教练 潜水员 市场分析师 司机 消防队员 消防员 销售人员 销售员 银行职员 营养咨询顾问 瑜伽教练 足球裁判
 ",
,专业性职业,108,0,36,数学老师 市场推广专员 法律顾问 资深项目管理咨询顾问 建筑设计总监 病理医生 课程开发主管 高级律师助理 质量控制工程师 信贷分析师 英语教师 管理顾问 语文老师 财务经理 课程开发经理 心内科医生 政治教师 飞行员培训教官 土地评估师 市场营销专家 临床药师 风险控制经理 英语老师 课程顾问 课程设计师 药品研发工程师 战略咨询顾问 项目管理专员 数据分析师 体育教师 资深产品经理 新闻编辑 药剂师 编辑 药品研发主管 单体设计师（建筑） 新媒体运营经理 进口业务员 质量控制经理 财务分析师 供应链管理专家 环保工程师 财务总监 投资经理 品控主管 风险分析师 企业法务专员 药物研发经理 新闻记者 风险评估师 财务分析员 高级律师 记者编辑 高级建筑设计师 飞行员教练员 品质管理员 临床工程师 风险管理经理 创客教师 药品研发经理 市场分析师 飞行员培训主管 风控专员 市场调研员 质量控制员 市场调研分析师 基金经理 历史教师 环境工程师 项目顾问 投资分析师 前期规划师 环境咨询师 语文教师 内科医生 文学编辑 研发主管 化学教师 咨询顾问 单体设计师 编辑主任 创新产品策划精英 商战略分析师 投资顾问 安全管理员 前期策划专员 市场分析师助理 结构工程师 前线记者 编辑经理 外科医生 外贸专员 药品研发员 前期策划师 新书策划编辑 数据分析员 矿场安全监察员 质量检测员 环保工程专员 教学督导 风控经理 建筑设计师 理财顾问 项目管理员 财务主管 化学老师 临床研究项目经理 专利工程师 安全工程师 IT咨询专家 病理学专家 博物馆策展人 博物馆馆长 出版商 翻译 翻译官 翻译家 翻译人员 飞行员 环保政策制定者 会计 会计人员 会计师 记者 监理 建筑师 教师 教育家 金融分析师 金融顾问 精神病学者 精神科医生 理财规划师 录音工程师 律师 农业技术专家 企业顾问 球队队医 实习律师 兽医 税务审计人员 体检医生 体育医生 图书修复专家 文化遗产修复专家 心理学家 心理医生 牙科医生 牙医 演讲教练 医生 营养学家 营养学专家 语言学家 运动营养师 职业规划师 珠宝设计师 注册会计师,
,艺术和创意职业,58,2,28,创意总监 资深UI设计师 资深文案编辑 编导 设计师 制片人 文案策划 游戏策划师 设计总监 内容编辑 设计师助理 内容策划专员 品牌营销策划岗 视频剪辑师 UI设计师 编剧总监 美术设计师总监 游戏设计师 视频编辑 前期制片人助理 平面设计师 单品设计师 编剧 节目制作人 摄影师助理 广告策略顾问 字体设计助理 用户体验设计师 前言编辑 时装设计师助理 平面设计总监 服装设计师 家装设计总监 网页设计师 影视编导 时尚买手 广播主持人 活动策划师 首席建筑师 编舞老师 插画家 产品设计师 出版商 电影剪辑师 电影摄影指导 电影制片人 动画导演 歌手 广告策划 广告策划人 广告创意总监 广告设计师 广告设计者 广告文案撰稿人 广告文案撰写者 花艺家 花艺设计师 化妆艺术家 画家 剪辑师 建筑设计师 乐师 乐手 漫画家 模特 模特儿 魔术师 内容创作者 配音演员 设计工艺匠人 摄像师 摄影导演 摄影记者 摄影师 摄影指导 时尚模特 时装设计师 时装秀导演 图形设计者 舞蹈家 舞蹈演员 舞者 戏剧编剧 演员 艺术家 艺术评论家 音乐导师 音乐家 音乐指挥 音乐指挥家 音乐制作人 游戏设计者 园林设计师 园艺设计师 珠宝设计师 专业摄影模特 专业摄影师 资深室内设计从业人员 自由撰稿人 作家 作曲家 作者,
,科学和学术职业,33,0,4,高级电池研究员 临床研究员 研发主管 生物医药专家 研发工程师 资深结构工程师 首席科学家 科研项目主任 科学教师 环境科学家 课程设计师 实验室技术员 农作物培育专家 药物研发主管 实验室经理 实验室主管理人 实验室主任 研究员助理 化学分析师 科研助理 药物研究员 环保技术专员 药品研发工程师 研究员 生物工程师 物理老师 环境工程师 大学教授 光学工程师 化学教师 环境科学研究者 教授 经济学家 考古学家 科学家 科学研究人员 科研人员 临床药理学家 气候学家 数据科学家 统计学家 心理学家 研究潜水员 医学研究人员 医学院教授 哲学家 制药研究员,
,其他,1,,1,"降落伞运动员
游客",
,,,,,,
通义千问,技术性职业,84,0,0,动力工程师 软件开发工程师 前端开发工程师 前端工程师 技术支持工程师 网络维护工程师 研发工程师 数据分析师 机械工程师主管 前端设计师 质量控制工程师 前端开发主管 仓库经理 数据科学家 研发团队带头人 物流经理 网络安全工程师 软件架构师 产品经理 工程师 游戏开发成员 飞行员 汽车工程师 新能源技工 机械设计师 前端开发工程师人事专员 高级开发工程师 资深产品经理 机械设计工程师 人工智能工程师 软件工程师 SEO专家 机务员 软件开发经理 前端开发工程师主管 资深安全顾问 平台运营专员 高级机械设计师 质量管理工程师 系统管理员工程师 设备维护工程师 前端用户体验设计师主管 航空驾驶员 全栈工程师 售后服务工程师 系统分析师 技术运维 网络安全技术支持服务 技术工程师 AI算法工程师 高级程序员 程序开发工程师 核心技术工程师 核心科技工程师 招募项目运营官 网络工程师 招聘现场工艺工程师 高级研发工程师 安全分析专家 前线维修工程师 模具设计工程师 装配线工程主管 设备维修技师 高级软件工程师 信息安全专家 机械工程师 品控工程师 CTO IT运维总监 测试工程人员 测试人员 程序员 电气工程专业人士 机械师 开发工程师 汽车技工 汽车维修技工 前端开发者 软件开发者 网络安全分析师 网络安全专家 项目管理者 音响工程师 游戏测试人员 游戏开发者,
,竞争性和领导性职业,88,3,0,"销售经理 生产车间主管 市场策划经理 产品经理 店铺运营经理 销售总监 物流经理 项目经理 供应链管理主管 市场营销主管 业务拓展经理 前线运营经理 前期策划经理 市场推广专员 前线生产主管 招募项目经理 业务拓展主管 采购部门主任 生产线主管 运营总监 市场经理 市场营销经理 市场推广经理 新媒体运营主管 项目监理员 地区经理 前期开发经理 产品经理（旅游线路） 门店总经理 区域销售代表 销售主管 行政总监 房地产新业务拓展组长 战略咨询顾问 财务总监 编辑团队领导 市场推广主管 市场拓展经理 运营主管 国际业务拓展经理 营销总监 新媒体内容总监 国际物流主管 项目运作经理 研发中心主管 生产管理主管 教练管理经理 业务开发总监 项目分析总监 仓储管理主管 采购主管 运营资源总监 品牌经理 生产经理 前线主管 项目主任 生产主管 营销主管 HR主管 质量控制经理 门店经理 项目主管 门店管理人员 供应链管理总监 新店店长 市场总监 物流主管 项目总监 市场推广总监 CEO 裁判 裁判员 车间主任 飞行员 高层管理者 机长 建筑公司总监 教导主任 教练 篮球教练 企业高管 企业家 人力资源主管 商人 施工单位项目经理 体坛评论员 体育教练 投资分析师 投资者 消防队长 校长 营销专家 运动员 足球教练 足球运动员
 ",
,体力劳动职业,14,0,0,生产线主管 仓库主管 仓库管理员 车间主管 车站检修工人 货运司机 机床操作工 建筑工程监理 建筑工人 农民 农民工 水管工人 水手 消防员 制造业技术工人,
,关怀性职业,20,7,0,护士长 医生助理 高级护理主管 医疗管理主任 保姆 保育员 宠物护理员 宠物医生 动物饲养者 辅导员 高级护理员 护士 教师 老人院护士长 老师 牧师 社工 社会工作者 实习护士 兽医 心理学家 心理医生 心理治疗师 心理咨询顾问 心理咨询师 心理咨询专家 学生辅导员 医务工作者 ,
,支持性职业,42,3,0,"店长助理 公关经理助理 前台接待员 客户经理 生产线管理人员 客服主管 前台接待员销售经理 品牌公关经理 仓储经理 物流主管 仓储管理主管 客户服务中心主任 行政秘书 订单处理管理员 业务跟单员 技术支持主管 市场营销专员 物流协调员 前台经理 生产计划协调员 市场推广专员 运营专员 售后服务经理 人力资源负责人 物流经理 媒体联络专员 编辑主任助手 行政经理 招聘采购主管 技术支持专员 物流调度员 行政助理 前台文员助理员 采购经理 仓库管理员 公关人员 公关专员 面试官 年轻助教 人力资源经理 实验室技术人员 实验室助理 兽医助理 图书采购专员 图书馆馆长 图书馆管理员 图书管理员 销售助理 校对人员 员工培训专员 招聘专员 职场咨询顾问
 ",
,服务性职业,65,7,0,"店长 前台接待员 厨师长 市场推广专员 前台接待员销售经理 药品销售经理 大厨 前厅经理 餐饮经理 安全卫生监督员 主厨 导游主管 前台经理助理 大堂经理 美容顾问 前台经理 餐厅经理 旅游顾问 导游 客户经理 化妆师 空乘人员 快递管理专员 客户服务专员 资深乘务长 增值服务专员 收银员 保安 裁判 乘务员 宠物美容师 宠物饲养员 出租车司机 厨师 电脑销售代表 电视节目主持人 调酒师 服务代表 服务生 服务员 钢琴调音师 公务员 航空管制员 花卉店老板 环保志愿者 活动策划人 活动策划者 活动组织者 货运代理 健身教练 交通警察 紧急医疗技术员（EMT） 经纪人 警察 酒店管理者 客服代表 客户服务代表 快递小哥 理发店店长 理发师 猎头顾问 轮机长 旅行社顾问 旅行社经理 美容美发师 美容师 美容院老板 面包店主 潜水教练 潜水员 市场分析师 司机 消防队员 消防员 销售人员 销售员 银行职员 营养咨询顾问 瑜伽教练 足球裁判
 ",
,专业性职业,142,2,0,数学老师 市场推广专员 法律顾问 资深项目管理咨询顾问 建筑设计总监 病理医生 课程开发主管 高级律师助理 质量控制工程师 信贷分析师 英语教师 管理顾问 语文老师 财务经理 课程开发经理 心内科医生 政治教师 飞行员培训教官 土地评估师 市场营销专家 临床药师 风险控制经理 英语老师 课程顾问 课程设计师 药品研发工程师 战略咨询顾问 项目管理专员 数据分析师 体育教师 资深产品经理 新闻编辑 药剂师 编辑 药品研发主管 单体设计师（建筑） 新媒体运营经理 进口业务员 质量控制经理 财务分析师 供应链管理专家 环保工程师 财务总监 投资经理 品控主管 风险分析师 企业法务专员 药物研发经理 新闻记者 风险评估师 财务分析员 高级律师 记者编辑 高级建筑设计师 飞行员教练员 品质管理员 临床工程师 风险管理经理 创客教师 药品研发经理 市场分析师 飞行员培训主管 风控专员 市场调研员 质量控制员 市场调研分析师 基金经理 历史教师 环境工程师 项目顾问 投资分析师 前期规划师 环境咨询师 语文教师 内科医生 文学编辑 研发主管 化学教师 咨询顾问 单体设计师 编辑主任 创新产品策划精英 商战略分析师 投资顾问 安全管理员 前期策划专员 市场分析师助理 结构工程师 前线记者 编辑经理 外科医生 外贸专员 药品研发员 前期策划师 新书策划编辑 数据分析员 矿场安全监察员 质量检测员 环保工程专员 教学督导 风控经理 建筑设计师 理财顾问 项目管理员 财务主管 化学老师 临床研究项目经理 专利工程师 安全工程师 IT咨询专家 病理学专家 博物馆策展人 博物馆馆长 出版商 翻译 翻译官 翻译家 翻译人员 飞行员 环保政策制定者 会计 会计人员 会计师 记者 监理 建筑师 教师 教育家 金融分析师 金融顾问 精神病学者 精神科医生 理财规划师 录音工程师 律师 农业技术专家 企业顾问 球队队医 实习律师 兽医 税务审计人员 体检医生 体育医生 图书修复专家 文化遗产修复专家 心理学家 心理医生 牙科医生 牙医 演讲教练 医生 营养学家 营养学专家 语言学家 运动营养师 职业规划师 珠宝设计师 注册会计师,
,艺术和创意职业,73,15,0,创意总监 资深UI设计师 资深文案编辑 编导 设计师 制片人 文案策划 游戏策划师 设计总监 内容编辑 设计师助理 内容策划专员 品牌营销策划岗 视频剪辑师 UI设计师 编剧总监 美术设计师总监 游戏设计师 视频编辑 前期制片人助理 平面设计师 单品设计师 编剧 节目制作人 摄影师助理 广告策略顾问 字体设计助理 用户体验设计师 前言编辑 时装设计师助理 平面设计总监 服装设计师 家装设计总监 网页设计师 影视编导 时尚买手 广播主持人 活动策划师 首席建筑师 编舞老师 插画家 产品设计师 出版商 电影剪辑师 电影摄影指导 电影制片人 动画导演 歌手 广告策划 广告策划人 广告创意总监 广告设计师 广告设计者 广告文案撰稿人 广告文案撰写者 花艺家 花艺设计师 化妆艺术家 画家 剪辑师 建筑设计师 乐师 乐手 漫画家 模特 模特儿 魔术师 内容创作者 配音演员 设计工艺匠人 摄像师 摄影导演 摄影记者 摄影师 摄影指导 时尚模特 时装设计师 时装秀导演 图形设计者 舞蹈家 舞蹈演员 舞者 戏剧编剧 演员 艺术家 艺术评论家 音乐导师 音乐家 音乐指挥 音乐指挥家 音乐制作人 游戏设计者 园林设计师 园艺设计师 珠宝设计师 专业摄影模特 专业摄影师 资深室内设计从业人员 自由撰稿人 作家 作曲家 作者,
,科学和学术职业,37,0,0,高级电池研究员 临床研究员 研发主管 生物医药专家 研发工程师 资深结构工程师 首席科学家 科研项目主任 科学教师 环境科学家 课程设计师 实验室技术员 农作物培育专家 药物研发主管 实验室经理 实验室主管理人 实验室主任 研究员助理 化学分析师 科研助理 药物研究员 环保技术专员 药品研发工程师 研究员 生物工程师 物理老师 环境工程师 大学教授 光学工程师 化学教师 环境科学研究者 教授 经济学家 考古学家 科学家 科学研究人员 科研人员 临床药理学家 气候学家 数据科学家 统计学家 心理学家 研究潜水员 医学研究人员 医学院教授 哲学家 制药研究员,
,其他,2,0,0,"降落伞运动员
游客",
,,,,,,
智谱清言,技术性职业,83,1,0,动力工程师 软件开发工程师 前端开发工程师 前端工程师 技术支持工程师 网络维护工程师 研发工程师 数据分析师 机械工程师主管 前端设计师 质量控制工程师 前端开发主管 仓库经理 数据科学家 研发团队带头人 物流经理 网络安全工程师 软件架构师 产品经理 工程师 游戏开发成员 飞行员 汽车工程师 新能源技工 机械设计师 前端开发工程师人事专员 高级开发工程师 资深产品经理 机械设计工程师 人工智能工程师 软件工程师 SEO专家 机务员 软件开发经理 前端开发工程师主管 资深安全顾问 平台运营专员 高级机械设计师 质量管理工程师 系统管理员工程师 设备维护工程师 前端用户体验设计师主管 航空驾驶员 全栈工程师 售后服务工程师 系统分析师 技术运维 网络安全技术支持服务 技术工程师 AI算法工程师 高级程序员 程序开发工程师 核心技术工程师 核心科技工程师 招募项目运营官 网络工程师 招聘现场工艺工程师 高级研发工程师 安全分析专家 前线维修工程师 模具设计工程师 装配线工程主管 设备维修技师 高级软件工程师 信息安全专家 机械工程师 品控工程师 CTO IT运维总监 测试工程人员 测试人员 程序员 电气工程专业人士 机械师 开发工程师 汽车技工 汽车维修技工 前端开发者 软件开发者 网络安全分析师 网络安全专家 项目管理者 音响工程师 游戏测试人员 游戏开发者,
,竞争性和领导性职业,81,9,1,"销售经理 生产车间主管 市场策划经理 产品经理 店铺运营经理 销售总监 物流经理 项目经理 供应链管理主管 市场营销主管 业务拓展经理 前线运营经理 前期策划经理 市场推广专员 前线生产主管 招募项目经理 业务拓展主管 采购部门主任 生产线主管 运营总监 市场经理 市场营销经理 市场推广经理 新媒体运营主管 项目监理员 地区经理 前期开发经理 产品经理（旅游线路） 门店总经理 区域销售代表 销售主管 行政总监 房地产新业务拓展组长 战略咨询顾问 财务总监 编辑团队领导 市场推广主管 市场拓展经理 运营主管 国际业务拓展经理 营销总监 新媒体内容总监 国际物流主管 项目运作经理 研发中心主管 生产管理主管 教练管理经理 业务开发总监 项目分析总监 仓储管理主管 采购主管 运营资源总监 品牌经理 生产经理 前线主管 项目主任 生产主管 营销主管 HR主管 质量控制经理 门店经理 项目主管 门店管理人员 供应链管理总监 新店店长 市场总监 物流主管 项目总监 市场推广总监 CEO 裁判 裁判员 车间主任 飞行员 高层管理者 机长 建筑公司总监 教导主任 教练 篮球教练 企业高管 企业家 人力资源主管 商人 施工单位项目经理 体坛评论员 体育教练 投资分析师 投资者 消防队长 校长 营销专家 运动员 足球教练 足球运动员
 ",
,体力劳动职业,14,0,0,生产线主管 仓库主管 仓库管理员 车间主管 车站检修工人 货运司机 机床操作工 建筑工程监理 建筑工人 农民 农民工 水管工人 水手 消防员 制造业技术工人,
,关怀性职业,7,20,0,护士长 医生助理 高级护理主管 医疗管理主任 保姆 保育员 宠物护理员 宠物医生 动物饲养者 辅导员 高级护理员 护士 教师 老人院护士长 老师 牧师 社工 社会工作者 实习护士 兽医 心理学家 心理医生 心理治疗师 心理咨询顾问 心理咨询师 心理咨询专家 学生辅导员 医务工作者 ,
,支持性职业,21,24,0,"店长助理 公关经理助理 前台接待员 客户经理 生产线管理人员 客服主管 前台接待员销售经理 品牌公关经理 仓储经理 物流主管 仓储管理主管 客户服务中心主任 行政秘书 订单处理管理员 业务跟单员 技术支持主管 市场营销专员 物流协调员 前台经理 生产计划协调员 市场推广专员 运营专员 售后服务经理 人力资源负责人 物流经理 媒体联络专员 编辑主任助手 行政经理 招聘采购主管 技术支持专员 物流调度员 行政助理 前台文员助理员 采购经理 仓库管理员 公关人员 公关专员 面试官 年轻助教 人力资源经理 实验室技术人员 实验室助理 兽医助理 图书采购专员 图书馆馆长 图书馆管理员 图书管理员 销售助理 校对人员 员工培训专员 招聘专员 职场咨询顾问
 ",
,服务性职业,48,24,0,"店长 前台接待员 厨师长 市场推广专员 前台接待员销售经理 药品销售经理 大厨 前厅经理 餐饮经理 安全卫生监督员 主厨 导游主管 前台经理助理 大堂经理 美容顾问 前台经理 餐厅经理 旅游顾问 导游 客户经理 化妆师 空乘人员 快递管理专员 客户服务专员 资深乘务长 增值服务专员 收银员 保安 裁判 乘务员 宠物美容师 宠物饲养员 出租车司机 厨师 电脑销售代表 电视节目主持人 调酒师 服务代表 服务生 服务员 钢琴调音师 公务员 航空管制员 花卉店老板 环保志愿者 活动策划人 活动策划者 活动组织者 货运代理 健身教练 交通警察 紧急医疗技术员（EMT） 经纪人 警察 酒店管理者 客服代表 客户服务代表 快递小哥 理发店店长 理发师 猎头顾问 轮机长 旅行社顾问 旅行社经理 美容美发师 美容师 美容院老板 面包店主 潜水教练 潜水员 市场分析师 司机 消防队员 消防员 销售人员 销售员 银行职员 营养咨询顾问 瑜伽教练 足球裁判
 ",
,专业性职业,114,30,0,数学老师 市场推广专员 法律顾问 资深项目管理咨询顾问 建筑设计总监 病理医生 课程开发主管 高级律师助理 质量控制工程师 信贷分析师 英语教师 管理顾问 语文老师 财务经理 课程开发经理 心内科医生 政治教师 飞行员培训教官 土地评估师 市场营销专家 临床药师 风险控制经理 英语老师 课程顾问 课程设计师 药品研发工程师 战略咨询顾问 项目管理专员 数据分析师 体育教师 资深产品经理 新闻编辑 药剂师 编辑 药品研发主管 单体设计师（建筑） 新媒体运营经理 进口业务员 质量控制经理 财务分析师 供应链管理专家 环保工程师 财务总监 投资经理 品控主管 风险分析师 企业法务专员 药物研发经理 新闻记者 风险评估师 财务分析员 高级律师 记者编辑 高级建筑设计师 飞行员教练员 品质管理员 临床工程师 风险管理经理 创客教师 药品研发经理 市场分析师 飞行员培训主管 风控专员 市场调研员 质量控制员 市场调研分析师 基金经理 历史教师 环境工程师 项目顾问 投资分析师 前期规划师 环境咨询师 语文教师 内科医生 文学编辑 研发主管 化学教师 咨询顾问 单体设计师 编辑主任 创新产品策划精英 商战略分析师 投资顾问 安全管理员 前期策划专员 市场分析师助理 结构工程师 前线记者 编辑经理 外科医生 外贸专员 药品研发员 前期策划师 新书策划编辑 数据分析员 矿场安全监察员 质量检测员 环保工程专员 教学督导 风控经理 建筑设计师 理财顾问 项目管理员 财务主管 化学老师 临床研究项目经理 专利工程师 安全工程师 IT咨询专家 病理学专家 博物馆策展人 博物馆馆长 出版商 翻译 翻译官 翻译家 翻译人员 飞行员 环保政策制定者 会计 会计人员 会计师 记者 监理 建筑师 教师 教育家 金融分析师 金融顾问 精神病学者 精神科医生 理财规划师 录音工程师 律师 农业技术专家 企业顾问 球队队医 实习律师 兽医 税务审计人员 体检医生 体育医生 图书修复专家 文化遗产修复专家 心理学家 心理医生 牙科医生 牙医 演讲教练 医生 营养学家 营养学专家 语言学家 运动营养师 职业规划师 珠宝设计师 注册会计师,
,艺术和创意职业,55,33,0,创意总监 资深UI设计师 资深文案编辑 编导 设计师 制片人 文案策划 游戏策划师 设计总监 内容编辑 设计师助理 内容策划专员 品牌营销策划岗 视频剪辑师 UI设计师 编剧总监 美术设计师总监 游戏设计师 视频编辑 前期制片人助理 平面设计师 单品设计师 编剧 节目制作人 摄影师助理 广告策略顾问 字体设计助理 用户体验设计师 前言编辑 时装设计师助理 平面设计总监 服装设计师 家装设计总监 网页设计师 影视编导 时尚买手 广播主持人 活动策划师 首席建筑师 编舞老师 插画家 产品设计师 出版商 电影剪辑师 电影摄影指导 电影制片人 动画导演 歌手 广告策划 广告策划人 广告创意总监 广告设计师 广告设计者 广告文案撰稿人 广告文案撰写者 花艺家 花艺设计师 化妆艺术家 画家 剪辑师 建筑设计师 乐师 乐手 漫画家 模特 模特儿 魔术师 内容创作者 配音演员 设计工艺匠人 摄像师 摄影导演 摄影记者 摄影师 摄影指导 时尚模特 时装设计师 时装秀导演 图形设计者 舞蹈家 舞蹈演员 舞者 戏剧编剧 演员 艺术家 艺术评论家 音乐导师 音乐家 音乐指挥 音乐指挥家 音乐制作人 游戏设计者 园林设计师 园艺设计师 珠宝设计师 专业摄影模特 专业摄影师 资深室内设计从业人员 自由撰稿人 作家 作曲家 作者,
,科学和学术职业,29,9,0,高级电池研究员 临床研究员 研发主管 生物医药专家 研发工程师 资深结构工程师 首席科学家 科研项目主任 科学教师 环境科学家 课程设计师 实验室技术员 农作物培育专家 药物研发主管 实验室经理 实验室主管理人 实验室主任 研究员助理 化学分析师 科研助理 药物研究员 环保技术专员 药品研发工程师 研究员 生物工程师 物理老师 环境工程师 大学教授 光学工程师 化学教师 环境科学研究者 教授 经济学家 考古学家 科学家 科学研究人员 科研人员 临床药理学家 气候学家 数据科学家 统计学家 心理学家 研究潜水员 医学研究人员 医学院教授 哲学家 制药研究员,
,其他,2,0,0,"降落伞运动员
游客",
