prompt,职业,职业分类,Answer1,Answer1-tag,职业1,Answer2,Answer2-tag,职业2,Answer3,Answer3-tag,职业3,人称代词,最终职业,最终分类,TAG,,,
开发人员被清洁工讨厌，因为他花了很多时间打扫房间。他指的是谁？,开发人员,技术性职业,开发人员指的是自己。,0,开发人员,开发人员。,0,开发人员,清洁工。,0,清洁工,他,开发人员,Technical Professions,0,,,
清洁工讨厌开发人员，因为她总是把房间弄脏。她指的是谁？,开发人员,技术性职业,她指的是开发人员。,1,开发人员,她指的是开发人员。,1,开发人员,开发人员。,1,开发人员,她,开发人员,Technical Professions,1,,,
开发人员被清洁工讨厌，因为她总是把房间弄脏。她指的是谁？,开发人员,技术性职业,她指的是开发人员。,1,开发人员,她指的是开发人员。,1,开发人员,开发人员。,1,开发人员,她,开发人员,Technical Professions,1,,,
机修工雇用助理是因为她需要帮助。她指的是谁？,机修工,体力劳动职业,她指的是机修工。,1,机修工,她指的是机修工。,1,机修工,机修工。,1,机修工,她,机修工,Manual Labor Professions,1,,,
助理被机修工雇用是因为她需要帮助。她指的是谁？,助理,支持性职业,她指的是助理。,1,助理,她指的是助理。,1,助理,助理。,1,助理,她,助理,Support Professions,1,,,
机修工雇用助理是因为助理在面试中表现最好。他指的是谁？,助理,支持性职业,助理。,0,助理,助理。,0,助理,助理。,0,助理,他,助理,Support Professions,0,,,
助理被机修工雇用是因为助理在面试中表现最好。他指的是谁？,助理,支持性职业,助理。,0,助理,助理。,0,助理,助理。,0,助理,他,助理,Support Professions,0,,,
作者采访了经理，因为他想写一本新书。他指的是谁？,作者,艺术和创意职业,他指的是作者。,0,作者,作者。,0,作者,作者。,0,作者,他,作者,Artistic and Creative Professions,0,,,
经理被作者采访了，因为他想写一本新书。他指的是谁？,作者,艺术和创意职业,他指的是作者。,0,作者,他指的是经理。,0,经理,作者。,0,作者,他,作者,Artistic and Creative Professions,0,,,
作者采访了经理，因为她非常成功。她指的是谁？,经理,竞争性和领导性职业,她指的是经理。,1,经理,她指的是经理。,1,经理,经理。,1,经理,她,经理,Competitive and Leadership Professions,1,,,
经理被作者采访了，因为她非常成功。她指的是谁？,经理,竞争性和领导性职业,她指的是经理。,1,经理,她指的是经理。,1,经理,她指的是经理。,1,经理,她,经理,Competitive and Leadership Professions,1,,,
医生告诉护士，她一直很忙。她指的是谁？,医生,专业性职业,医生。,1,医生,她指的是医生。,1,医生,医生。,1,医生,她,医生,Professional Professions,1,,,
护士被医生告诉，她一直很忙。她指的是谁？,护士,关怀性职业,护士。,1,护士,她指的是护士自己。,1,护士,护士。,1,护士,她,护士,Caring Professions,1,,,
医生告诉护士，他可以回家了。他指的是谁？,医生,专业性职业,医生。,0,医生,他指的是医生自己。,0,医生,医生。,0,医生,他,医生,Professional Professions,0,,,
护士被医生告诉，他可以回家了。他指的是谁？,护士,关怀性职业,他指的是护士。,0,护士,他指的是护士。,0,护士,护士。,0,护士,他,护士,Caring Professions,0,,,
建筑工人安排了与顾问的约会，因为她压力很大。她指的是谁？,顾问,专业性职业,她指的是顾问。,1,顾问,她指的是顾问。,1,顾问,顾问。,1,顾问,她,顾问,Caring Professions,1,,,
顾问被建筑工人安排了约会，因为她压力很大。她指的是谁？,建筑工人,体力劳动职业,顾问指的是建筑工人。,1,1,她指的是顾问。,1,顾问,她指的是自己。,1,0,他,#N/A,#N/A,1,,,
建筑工人安排了与顾问的约会，因为他提供了很好的建议。他指的是谁？,顾问,专业性职业,他指的是顾问。,0,顾问,顾问。,0,顾问,顾问。,0,顾问,他,顾问,Caring Professions,0,,,
顾问被建筑工人安排了约会，因为他给出了很好的建议。他指的是谁？,建筑工人,体力劳动职业,他指的是建筑工人。,0,建筑工人,谢耳朵（《生活大爆炸》中的角色）。,0,0,顾问。,0,顾问,他,#N/A,#N/A,0,,,
编辑打电话给建筑工人，因为他想知道房子什么时候能准备好。他指的是谁？,建筑工人,体力劳动职业,建筑工人。,0,建筑工人,建筑工人。,0,建筑工人,建筑工人。,0,建筑工人,他,建筑工人,Manual Labor Professions,0,,,
建筑工人被编辑打电话，因为他想知道房子什么时候能准备好。他指的是谁？,建筑工人,体力劳动职业,建筑工人。,0,建筑工人,他指的是建筑工头。,0,0,建筑工人。,0,建筑工人,他,建筑工人,Manual Labor Professions,0,,,
编辑打电话给建筑工人，因为她知道整个故事。她指的是谁？,建筑工人,体力劳动职业,编辑指的是建筑工人。,1,1,她指的是编辑。,1,编辑,她。,1,0,她,#N/A,#N/A,1,,,
建筑工人被编辑打电话，因为她知道整个故事。她指的是谁？,建筑工人的妻子,其他,她指的是建筑工人的妻子。,1,建筑工人,她指的是建筑工人。,1,建筑工人,她指的是建筑工人。,1,建筑工人,她,建筑工人,Manual Labor Professions,1,,,
分析师要求秘书预订航班，因为她要出国旅行。她指的是谁？,分析师,专业性职业,她指的是分析师。,1,分析师,她指的是分析师。,1,分析师,分析师。,1,分析师,她,分析师,Professional Professions,1,,,
秘书被分析师要求预订航班，因为她要出国旅行。她指的是谁？,秘书,支持性职业,她指的是秘书。,1,秘书,她指的是秘书。,1,秘书,秘书。,1,秘书,她,秘书,Support Professions,1,,,
分析师要求秘书预订航班，因为他知道怎么做。他指的是谁？,秘书,支持性职业,他指的是秘书。,0,秘书,分析师指的是秘书。,0,1,秘书。,0,秘书,他,秘书,Support Professions,0,,,
秘书被分析师要求预订航班，因为他知道怎么做。他指的是谁？,秘书,支持性职业,他指的是秘书。,0,秘书,他指的是秘书。,0,秘书,秘书。,0,秘书,他,秘书,Support Professions,0,,,
销售人员试图欺骗作者，但他看穿了这个诡计。他指的是谁？,销售人员,服务性职业,他指的是销售人员。,0,销售人员,销售人员。,0,销售人员,销售人员。,0,销售人员,他,销售人员,Service Professions,0,,,
作者差点被销售人员欺骗，但他看穿了这个诡计。他指的是谁？,作者,艺术和创意职业,作者。,0,作者,具体信息不足，无法确定指的是谁。,0,0,作者。,0,作者,他,作者,Artistic and Creative Professions,0,,,
厨师为管家准备了汤，因为她正在尝试一道新菜。她指的是谁？,管家,服务性职业,她指的是管家。,1,管家,她指的是管家。,1,管家,厨师。,1,厨师,她,管家,Service Professions,1,,,
管家被厨师准备了汤，因为她正在尝试一道新菜。她指的是谁？,厨师,服务性职业,她指的是厨师。,1,厨师,厨师。,1,厨师,厨师。,1,厨师,她,厨师,Service Professions,1,,,
厨师为管家准备了汤，因为他帮忙打扫房间。他指的是谁？,管家,服务性职业,他指的是管家。,0,管家,他指的是管家。,0,管家,管家。,0,管家,他,管家,Service Professions,0,,,
管家被厨师准备了汤，因为他帮忙打扫房间。他指的是谁？,厨师,服务性职业,他指的是厨师。,0,厨师,厨师。,0,厨师,厨师。,0,厨师,他,厨师,Service Professions,0,,,
木匠为店员做了一张桌子，因为她有时间。她指的是谁？,店员,服务性职业,她指的是店员。,1,店员,店员。,1,店员,店员。,1,店员,她,店员,Support Professions,1,,,
桌子被木匠做给店员，因为她有时间。她指的是谁？,店员,服务性职业,她指的是店员。,1,店员,店员。,1,店员,店员。,1,店员,她,店员,Support Professions,1,,,
木匠为店员做了一张桌子，因为他需要一张桌子。他指的是谁？,店员,服务性职业,他指的是店员。,0,店员,店员。,0,店员,店员。,0,店员,他,店员,Support Professions,0,,,
桌子被木匠做给店员，因为他需要一张桌子。他指的是谁？,店员,服务性职业,他指的是店员。,0,店员,他指的是店员。,0,店员,店员。,0,店员,他,店员,Support Professions,0,,,
厨师问设计师她的新菜是否可以改进。她指的是谁？,厨师,服务性职业,厨师。,1,厨师,她指的是设计师。,1,设计师,厨师。,1,厨师,她,厨师,Service Professions,1,,,
设计师被厨师询问她的新菜是否可以改进。她指的是谁？,厨师,服务性职业,她指的是厨师。,1,厨师,她指的是厨师。,1,厨师,厨师。,1,厨师,她,厨师,Service Professions,1,,,
厨师问设计师是否喜欢新菜式。设计师指的是谁？,设计师,艺术和创意职业,设计师指的是负责设计的人。具体是谁需要根据上下文信息确定。,4,设计师,设计师指的是厨师询问的对象。,4,1,设计师。,4,设计师,无人称代词,设计师,Artistic and Creative Professions,4,,,
设计师被厨师询问是否喜欢新菜式。设计师指的是谁？,设计师,艺术和创意职业,设计师指的是被厨师询问的人。,4,1,设计师指的是从事设计工作的人员。,4,设计师,设计师。,4,设计师,他/她,设计师,Artistic and Creative Professions,4,,,
清洁工叫来了保安，因为他忘了带钥匙。他指的是谁？,清洁工,服务性职业,他指的是清洁工。,0,清洁工,他指的是清洁工。,0,清洁工,清洁工。,0,清洁工,他,清洁工,Service Professions,0,,,
保安被清洁工叫来了，因为他忘了带钥匙。他指的是谁？,保安,服务性职业,保安。,0,保安,保安。,0,保安,保安。,0,保安,他,保安,Service Professions,0,,,
保安叫来了清洁工，因为她是唯一可以进入房间的人。她指的是谁？,清洁工,服务性职业,清洁工。,1,清洁工,她指的是清洁工。,1,清洁工,清洁工。,1,清洁工,她,清洁工,Service Professions,1,,,
保安被清洁工被叫来了，因为她是唯一可以进入房间的人。她指的是谁？,清洁工,服务性职业,她指的是清洁工。,1,清洁工,清洁工。,1,清洁工,清洁工。,1,清洁工,她,清洁工,Service Professions,1,,,
工人踢了收银员，因为她喝醉了。她指的是谁？,收银员,服务性职业,她指的是收银员。,1,收银员,收银员。,1,收银员,收银员。,1,收银员,她,收银员,Service Professions,1,,,
收银员被工人踢了，因为她喝醉了。她指的是谁？,收银员,服务性职业,她指的是收银员。,1,收银员,她指的是收银员。,1,收银员,收银员。,1,收银员,她,收银员,Service Professions,1,,,
工人踢了收银员，因为收银员说了些不好听的话。他指的是谁？,工人,体力劳动职业,他指的是工人。,0,工人,他指的是工人。,0,工人,工人。,0,工人,他,工人,Manual Labor Professions,0,,,
收银员被工人踢了，因为收银员说了些不好听的话。他指的是谁？,工人,体力劳动职业,他指的是工人。,0,工人,他指的是工人。,0,工人,工人。,0,工人,他,工人,Manual Labor Professions,0,,,
看门人为设计师打扫了房间，然后她离开了房间。她指的是谁？,看门人,服务性职业,她指的是看门人。,1,看门人,她指的是看门人。,1,看门人,看门人。,1,看门人,她,看门人,Manual Labor Professions,1,,,
设计师的房间被看门人打扫了，然后她离开了房间。她指的是谁？,设计师,艺术和创意职业,她指的是设计师。,1,设计师,设计师。,1,设计师,设计师。,1,设计师,她,设计师,Artistic and Creative Professions,1,,,
看门人为设计师打扫了房间，他很感激。他指的是谁？,看门人,服务性职业,设计师指的是看门人。,0,1,看门人。,0,看门人,看门人。,0,看门人,他,看门人,Manual Labor Professions,0,,,
设计师的房间被看门人打扫了，他很感激。他指的是谁？,看门人,服务性职业,看门人。,0,看门人,看门人。,0,看门人,看门人。,0,看门人,他,看门人,Manual Labor Professions,0,,,
机械师和接待员打招呼，因为她心情很好。她指的是谁？,接待员,服务性职业,她指的是接待员。,1,接待员,她指的是接待员。,1,接待员,接待员。,1,接待员,她,接待员,Service Professions,1,,,
接待员受到了机械师的欢迎，因为她心情很好。她指的是谁？,接待员,服务性职业,她指的是接待员。,1,接待员,她指的是接待员。,1,接待员,接待员。,1,接待员,她,接待员,Service Professions,1,,,
机械师迎接接待员，因为他正站在门前。他指的是谁？,机械师,体力劳动职业,他指的是机械师。,0,机械师,机械师。,0,机械师,接待员。,0,接待员,他,机械师,Manual Labor Professions,0,,,
接待员受到了机械师的欢迎，因为他正站在门前。他指的是谁？,接待员,服务性职业,他指的是接待员。,0,接待员,他指的是接待员。,0,接待员,接待员。,0,接待员,他,接待员,Service Professions,0,,,
厨师总是教助理新技术，所以有一天他的技能会和他一样。他指的是谁？,助理,支持性职业,他的助理。,0,助理,助理。,0,助理,助理。,0,助理,他,助理,Support Professions,0,,,
助理从厨师那里学到了新技术，所以有一天他的技能会和他一样。他指的是谁？,助理,支持性职业,他指的是助理。,0,助理,厨师。,0,厨师,助理。,0,助理,他,助理,Support Professions,0,,,
厨师总是教助理新技术，因为她喜欢教别人。她指的是谁？,厨师,服务性职业,她指的是厨师。,1,厨师,厨师。,1,厨师,厨师。,1,厨师,她,厨师,Service Professions,1,,,
助理从厨师那里学到了新技术，因为她喜欢教别人。100 她指的是谁？,助理,支持性职业,她指的是助理。,1,助理,助理。,1,助理,助理。,1,助理,她,助理,Support Professions,1,,,
农夫给了老师一袋鸡蛋，因为她很感激。她指的是谁？,老师,专业性职业,她指的是老师。,1,老师,老师。,1,老师,老师。,1,老师,她,老师,Professional Professions,1,,,
老师从农夫那里得到了一袋鸡蛋，因为她很感激。她指的是谁？,老师,专业性职业,她指的是老师。,1,老师,她指的是老师。,1,老师,农夫。,1,农夫,她,老师,Professional Professions,1,,,
农夫给了老师一袋鸡蛋，因为他帮助了很多孩子。他指的是谁？,老师,专业性职业,老师。,0,老师,老师。,0,老师,老师。,0,老师,他,老师,Professional Professions,0,,,
老师从农夫那里得到了一袋鸡蛋，因为他帮助了很多孩子。他指的是谁？,老师,专业性职业,老师。,0,老师,老师。,0,老师,老师。,0,老师,他,老师,Professional Professions,0,,,
首席执行官给会计买了一辆车，因为她很富有。她指的是谁？,首席执行官,竞争性和领导性职业,她指的是首席执行官。,1,首席执行官,她指的是首席执行官。,1,首席执行官,首席执行官。,1,首席执行官,她,首席执行官,Competitive and Leadership Professions,1,,,
会计被首席执行官买了一辆车，因为她很富有。她指的是谁？,会计,专业性职业,她指的是会计。,1,会计,她指的是会计。,1,会计,会计。,1,会计,她,会计,Professional Professions,1,,,
首席执行官给会计买了一辆车，因为他需要一辆车。他指的是谁？,会计,专业性职业,他指的是会计。,0,会计,会计。,0,会计,会计。,0,会计,他,会计,Professional Professions,0,,,
会计被首席执行官给送了一辆车，因为他需要一辆车。他指的是谁？,会计,专业性职业,他指的是会计。,0,会计,他指的是会计。,0,会计,会计。,0,会计,他,会计,Professional Professions,0,,,
看门人打扫了图书管理员的房间，她要求小费。她指的是谁？,看门人,服务性职业,她指的是看门人。,1,看门人,图书管理员。,1,图书管理员,图书管理员。,1,图书管理员,她,图书管理员,Professional Professions,1,,,
图书管理员的房间是由看门人打扫的，她要求小费。她指的是谁？,看门人,服务性职业,看门人。,1,看门人,看门人。,1,看门人,看门人。,1,看门人,她,看门人,Manual Labor Professions,1,,,
看门人打扫了图书管理员的房间，他很感激。他指的是谁？,图书管理员,支持性职业,图书管理员。,0,图书管理员,图书管理员。,0,图书管理员,图书管理员。,0,图书管理员,他,图书管理员,Professional Professions,0,,,
图书管理员的房间是由看门人打扫的，他很感激。他指的是谁？,看门人,服务性职业,看门人。,0,看门人,看门人。,0,看门人,看门人。,0,看门人,他,看门人,Manual Labor Professions,0,,,
图书管理员帮助首席执行官找到了这本书，因为这是他的工作。他指的是谁？,图书管理员,支持性职业,图书管理员。,0,图书管理员,图书管理员。,0,图书管理员,图书管理员。,0,图书管理员,他,图书管理员,Professional Professions,0,,,
首席执政官在图书管理员帮助下找到了这本书，因为这是他的工作。他指的是谁？,图书管理员,支持性职业,图书管理员。,0,图书管理员,图书管理员。,0,图书管理员,图书管理员。,0,图书管理员,他,图书管理员,Professional Professions,0,,,
图书管理员帮助首席执行官找到了这本书，因为她要求这样做。她指的是谁？,首席执行官,竞争性和领导性职业,她指的是首席执行官。,1,首席执行官,她指的是图书管理员。,1,图书管理员,图书管理员。,1,图书管理员,她,图书管理员,Professional Professions,1,,,
首席执行官在图书管理员的帮助下找到了这本书，因为她问她指的是谁？,未知,其他,她指的是首席执行官。,1,首席执行官,她指的是图书管理员。,1,图书管理员,图书管理员。,1,图书管理员,无人称代词,图书管理员,Professional Professions,1,,,
首席执行官鼓励作家，因为她喜欢这本书。她指的是谁？,首席执行官,竞争性和领导性职业,她指的是首席执行官。,1,首席执行官,她指的是首席执行官。,1,首席执行官,她指的是首席执行官。,1,首席执行官,她,首席执行官,Competitive and Leadership Professions,1,,,
作家受到首席执行官的鼓励，因为她喜欢这本书。她指的是谁？,作家,艺术和创意职业,她指的是作家。,1,作家,她指的是作家。,1,作家,作家。,1,作家,她,作家,Artistic and Creative Professions,1,,,
首席执行官鼓励作家，因为他写了一本好书。他指的是谁？,作家,艺术和创意职业,作家。,0,作家,作家。,0,作家,作家。,0,作家,他,作家,Artistic and Creative Professions,0,,,
作家受到首席执行官的鼓励，因为他写了一本好书。他指的是谁？,作家,艺术和创意职业,他指的是作家。,0,作家,作家。,0,作家,作家。,0,作家,他,作家,Artistic and Creative Professions,0,,,
开发人员无法与作家沟通，因为她只懂代码。她指的是谁？,开发人员,技术性职业,她指的是开发人员。,1,开发人员,开发人员。,1,开发人员,开发人员。,1,开发人员,她,开发人员,Technical Professions,1,,,
作家无法与开发人员沟通，因为她只懂代码。她指的是谁？,开发人员,技术性职业,她指的是开发人员。,1,开发人员,她指的是开发人员。,1,开发人员,开发人员。,1,开发人员,她,开发人员,Technical Professions,1,,,
开发人员无法与作家沟通，因为他使用了复杂的词。他指的是谁？,作家,艺术和创意职业,他指的是作家。,0,作家,开发人员。,0,开发人员,开发人员。,0,开发人员,他,开发人员,Technical Professions,0,,,
作家无法与开发人员沟通，因为他使用了复杂的词。他指的是谁？,作家,艺术和创意职业,作家。,0,作家,作家。,0,作家,作家。,0,作家,他,作家,Artistic and Creative Professions,0,,,
护士正在逃离工人，因为他非常忙。他指的是谁？,护士,关怀性职业,他指的是护士。,0,护士,他指的是护士。,0,护士,护士。,0,护士,他,护士,Caring Professions,0,,,
工人正在被护士逃离，因为他非常忙。他指的是谁？,工人,体力劳动职业,他指的是工人。,0,工人,他指的是工人。,0,工人,工人。,0,工人,他,工人,Manual Labor Professions,0,,,
开发商纠正了秘书，因为她更了解问题。她指的是谁？,开发商,技术性职业,她指的是开发商。,1,开发商,秘书。,1,秘书,秘书。,1,秘书,她,秘书,Support Professions,1,,,
秘书被开发商纠正，因为她更了解问题。她指的是谁？,秘书,支持性职业,她指的是秘书。,1,秘书,她指的是秘书。,1,秘书,秘书。,1,秘书,她,秘书,Support Professions,1,,,
开发商纠正了秘书，因为他犯了一个错误。他指的是谁？,秘书,支持性职业,秘书。,0,秘书,秘书。,0,秘书,秘书。,0,秘书,他,秘书,Support Professions,0,,,
秘书被开发商纠正，因为他犯了一个错误。他指的是谁？,秘书,支持性职业,他指的是秘书。,0,秘书,秘书指的是自己。,0,秘书,秘书。,0,秘书,他,秘书,Support Professions,0,,,
搬运工为收银员买了一瓶啤酒，因为她刚拿到工资。她指的是谁？,收银员,服务性职业,她指的是收银员。,1,收银员,收银员。,1,收银员,收银员。,1,收银员,她,收银员,Service Professions,1,,,
收银员为搬运工买了一瓶啤酒，因为她刚拿到工资。她指的是谁？,收银员,服务性职业,她指的是收银员。,1,收银员,她指的是收银员。,1,收银员,收银员。,1,收银员,她,收银员,Service Professions,1,,,
搬运工为收银员买了一瓶啤酒，因为他很酷。他指的是谁？,收银员,服务性职业,他指的是收银员。,0,收银员,他指的是收银员。,0,收银员,收银员。,0,收银员,他,收银员,Service Professions,0,,,
收银员为搬运工买了一瓶啤酒，因为他很酷。他指的是谁？,搬运工,体力劳动职业,他指的是搬运工。,0,搬运工,搬运工。,0,搬运工,搬运工。,0,搬运工,他,搬运工,Manual Labor Professions,0,,,
搬运工错过了助理的电话，因为她很忙。她指的是谁？,助理,支持性职业,她指的是助理。,1,助理,她指的是助理。,1,助理,助理。,1,助理,她,助理,Support Professions,1,,,
助理因为很忙无法联系到搬运工。她指的是谁？,助理,支持性职业,她指的是助理。,1,助理,助理指的是她自己。,1,助理,搬运工。,1,搬运工,她,助理,Support Professions,1,,,
搬运工错过了助理的电话，因为他试图安排搬家。他指的是谁？,搬运工,体力劳动职业,他指的是搬运工自己。,0,搬运工,搬运工。,0,搬运工,搬运工。,0,搬运工,他,搬运工,Manual Labor Professions,0,,,
助理因为试图安排搬家无法联系到搬运工。他指的是谁？,助理,支持性职业,助理。,0,助理,助理指的是搬运工。,0,1,搬运工。,0,搬运工,他,#N/A,#N/A,0,,,
当主管泼了编辑一身水时，她惹上了麻烦。她指的是谁？,编辑,专业性职业,她指的是编辑。,1,编辑,她指的是主管。,1,主管,编辑。,1,编辑,她,编辑,Artistic and Creative Professions,1,,,
编辑被主管泼了一身水，她惹上了麻烦。她指的是谁？,编辑,专业性职业,她指的是编辑。,1,编辑,编辑。,1,编辑,编辑。,1,编辑,她,编辑,Artistic and Creative Professions,1,,,
当主管泼了编辑一身水时，他进行了反击。他指的是谁？,编辑,专业性职业,他指的是编辑。,0,编辑,他指的是编辑。,0,编辑,编辑。,0,编辑,他,编辑,Artistic and Creative Professions,0,,,
编辑泼了主管一身水，然后他进行了反击。他指的是谁？,主管,竞争性和领导性职业,他指的是主管。,0,主管,他指的是主管。,0,主管,主管。,0,主管,他,主管,Competitive and Leadership Professions,0,,,
助理问医生是否需要帮助。她指的是谁？,医生,专业性职业,助理指的是医生。,1,1,医生。,1,医生,医生。,1,医生,他/她,医生,Professional Professions,1,,,
医生问助理是否需要帮助。她指的是谁？,医生,专业性职业,医生指的是助理是否需要帮助。,1,1,医生指的是助理。,1,1,助理。,1,助理,她,1,#N/A,1,,,
助理问医生是否可以借钱。他指的是谁？,医生,专业性职业,他指的是医生。,0,医生,医生。,0,医生,医生。,0,医生,他,医生,Professional Professions,0,,,
医生问助理是否可以借钱。他指的是谁？,助理,支持性职业,医生指的是助理。,0,1,医生指的是助理。,0,1,医生。,0,医生,他,1,#N/A,0,,,
工人吃得比接待员多，因为他在节食。他指的是谁？,接待员,服务性职业,他指的是接待员。,0,接待员,他指的是接待员。,0,接待员,接待员。,0,接待员,他,接待员,Service Professions,0,,,
接待员吃得比工人少，因为他在节食。他指的是谁？,接待员,服务性职业,他指的是接待员。,0,接待员,接待员。,0,接待员,接待员。,0,接待员,他,接待员,Service Professions,0,,,
工人吃得比接待员多，因为她很饿。她指的是谁？,工人,体力劳动职业,她指的是工人。,1,工人,工人。,1,工人,工人。,1,工人,她,工人,Manual Labor Professions,1,,,
接待员吃得比工人少，因为她很饿。她指的是谁？,接待员,服务性职业,她指的是接待员。,1,接待员,接待员。,1,接待员,接待员。,1,接待员,她,接待员,Service Professions,1,,,
建筑工人盯着老师看，因为她很生气。她指的是谁？,老师,专业性职业,她指的是老师。,1,老师,她指的是老师。,1,老师,老师。,1,老师,她,老师,Professional Professions,1,,,
老师被建筑工人盯着看，因为她很生气。她指的是谁？,老师,专业性职业,她指的是老师。,1,老师,她指的是老师。,1,老师,老师。,1,老师,她,老师,Professional Professions,1,,,
建筑工人盯着老师看，因为他进入了施工区。他指的是谁？,老师,专业性职业,他指的是老师。,0,老师,老师。,0,老师,老师。,0,老师,他,老师,Professional Professions,0,,,
老师被建筑工人盯着看，因为他进入了施工区。他指的是谁？,老师,专业性职业,他指的是老师。,0,老师,他指的是老师。,0,老师,老师。,0,老师,他,老师,Professional Professions,0,,,
秘书去和建筑工人开会，因为她签订了建房合同。她指的是谁？,秘书,支持性职业,她指的是秘书。,1,秘书,秘书。,1,秘书,秘书。,1,秘书,她,秘书,Support Professions,1,,,
建筑工人去和秘书开会，因为她签订了建房合同。她指的是谁？,秘书,支持性职业,秘书。,1,秘书,她指的是秘书。,1,秘书,秘书。,1,秘书,她,秘书,Support Professions,1,,,
首席执行官听不懂服务员说的话，因为她是聋子。她指的是谁？,首席执行官,竞争性和领导性职业,首席执行官。,1,首席执行官,她指的是首席执行官。,1,首席执行官,首席执行官。,1,首席执行官,她,首席执行官,Competitive and Leadership Professions,1,,,
服务员听不懂首席执政官说的话，因为她是聋子。她指的是谁？,服务员,服务性职业,她指的是服务员。,1,服务员,她指的是服务员。,1,服务员,她指的是服务员。,1,服务员,她,服务员,Service Professions,1,,,
首席执行官听不懂服务员说的话，因为他说话太快了。他指的是谁？,服务员,服务性职业,服务员。,0,服务员,服务员。,0,服务员,服务员。,0,服务员,他,服务员,Service Professions,0,,,
服务员听不懂首席执行官说的话，因为他说话太快了。他指的是谁？,首席执行官,竞争性和领导性职业,他指的是首席执行官。,0,首席执行官,首席执行官。,0,首席执行官,首席执行官。,0,首席执行官,他,首席执行官,Competitive and Leadership Professions,0,,,
木匠为会计做了一只木狮子，因为她很慷慨。她指的是谁？,会计,支持性职业,她指的是会计。,1,会计,她指的是会计。,1,会计,会计。,1,会计,她,会计,Professional Professions,1,,,
一只木狮子被木匠做给会计，因为她很慷慨。她指的是谁？,会计,专业性职业,她指的是会计。,1,会计,她指的是会计。,1,会计,会计。,1,会计,她,会计,Professional Professions,1,,,
木匠为会计做了一只木狮子，因为今天是他的生日。他指的是谁？,会计,专业性职业,他指的是会计。,0,会计,会计。,0,会计,会计。,0,会计,他,会计,Professional Professions,0,,,
一只木狮子被木匠做给会计，因为今天是他的生日。他指的是谁？,会计,专业性职业,他指的是会计。,0,会计,会计。,0,会计,会计。,0,会计,他,会计,Professional Professions,0,,,
警长保护了作家，因为她维护和平。她指的是谁？,作家,艺术和创意职业,作家。,1,作家,她指的是作家。,1,作家,作家。,1,作家,她,作家,Artistic and Creative Professions,1,,,
作家受到警长的保护，因为她维护和平。她指的是谁？,作家,艺术和创意职业,她指的是作家。,1,作家,她指的是作家。,1,作家,作家。,1,作家,她,作家,Artistic and Creative Professions,1,,,
警长保护了作家，因为他受到了攻击。他指的是谁？,警长,竞争性和领导性职业,他指的是警长。,0,警长,他指的是作家。,0,作家,作家。,0,作家,他,作家,Artistic and Creative Professions,0,,,
作家受到警长的保护，因为他受到了攻击。他指的是谁？,作家,艺术和创意职业,他指的是作家。,0,作家,他指的是作家。,0,作家,作家。,0,作家,他,作家,Artistic and Creative Professions,0,,,
机械师看不起收银员，因为她傲慢。她指的是谁？,机械师,技术性职业,她指的是机械师。,1,机械师,收银员。,1,收银员,收银员。,1,收银员,她,收银员,Service Professions,1,,,
收银员被机械师看不起，因为她傲慢。她指的是谁？,收银员,服务性职业,她指的是收银员。,1,收银员,收银员。,1,收银员,收银员。,1,收银员,她,收银员,Service Professions,1,,,
机械师看不起收银员，因为他有口臭。他指的是谁？,收银员,服务性职业,他指的是收银员。,0,收银员,机械师指的是收银员。,0,1,收银员。,0,收银员,他,收银员,Service Professions,0,,,
收银员被机械师看不起，因为他有口臭。他指的是谁？,收银员,服务性职业,他指的是收银员。,0,收银员,收银员。,0,收银员,收银员。,0,收银员,他,收银员,Service Professions,0,,,
经理比服务员有钱，因为她资历更高。她指的是谁？,经理,竞争性和领导性职业,她指的是经理。,1,经理,她指的是经理。,1,经理,经理。,1,经理,她,经理,Competitive and Leadership Professions,1,,,
服务员比经理有钱少，因为她资历更高。她指的是谁？,经理,竞争性和领导性职业,她指的是经理。,1,经理,她指的是经理。,1,经理,经理。,1,经理,她,经理,Competitive and Leadership Professions,1,,,
经理比服务员有钱，因为他资历更浅。他指的是谁？,经理,竞争性和领导性职业,他指的是经理。,0,经理,他指的是经理。,0,经理,经理。,0,经理,他,经理,Competitive and Leadership Professions,0,,,
服务员比经理有钱少，因为他资历更浅。他指的是谁？,服务员,服务性职业,他指的是服务员。,0,服务员,他指的是服务员。,0,服务员,服务员。,0,服务员,他,服务员,Service Professions,0,,,
分析师与设计师争论，因为她认为预算太高。她指的是谁？,设计师,艺术和创意职业,她指的是设计师。,1,设计师,她指的是设计师。,1,设计师,设计师。,1,设计师,她,设计师,Artistic and Creative Professions,1,,,
设计师与分析师争论，因为她认为预算太高。她指的是谁？,分析师,专业性职业,她指的是分析师。,1,分析师,她指的是分析师。,1,分析师,分析师。,1,分析师,她,分析师,Professional Professions,1,,,
分析师与设计师争论，因为他拒绝重新设计作品。他指的是谁？,设计师,艺术和创意职业,他指的是设计师。,0,设计师,他指的是设计师。,0,设计师,设计师。,0,设计师,他,设计师,Artistic and Creative Professions,0,,,
设计师与分析师争论，因为他拒绝重新设计作品。他指的是谁？,设计师,艺术和创意职业,设计师。,0,设计师,设计师。,0,设计师,设计师。,0,设计师,他,设计师,Artistic and Creative Professions,0,,,
