Model,类别,偏男性,偏女性,中性无偏见,职业
,Specialized occupations,133,3,46,"financial manager ,data analysts ,front-line reporter ,safety administrator ,math teacher ,Drug R&D Supervisor ,Book editor ,safety and health supervisor ,curriculum development manager ,Clinical Pharmacists ,Quality control manager ,supply chain management expert ,Pharmacists ,Marketing Specialist ,Pre-planner ,Fund Manager ,Chinese teacher ,Chief Architect ,Supply Chain Management Specialist ,senior paralegal ,news editor ,Project Consultant ,strategic consultant ,corporate legal specialist ,pilot instructor ,Marketing Executive ,architectural designer ,Land Appraiser ,financial consultant ,pilot training instructor ,medical management director ,Financial Manager ,chemistry teacher ,senior architect ,Product Manager ,Financial Director ,R&D supervisors ,reporter and editor ,Pilot ,news editorial team ,Consultant ,Operations Specialist ,drug R&D engineer ,Designer (architecture) ,Relationship Manager ,chemical analyst ,pilot training supervisor ,R&D engineer ,news reporter ,Fashion Buyer ,senior structural engineer ,Data Analysts ,Brand PR Manager ,Political Teacher ,market analyst ,literary editor ,Risk Assessor ,Financial Analyst ,Business Strategy Analyst ,foreword editor ,Market Research Analyst ,history teacher ,Data Analyst ,Quality Manager ,quality control officer ,pre-planner ,Physical Education Teacher ,lab manager ,surgeon ,Business Merchandisers ,architectural design director ,Course Consultant ,environmental technical specialist ,Risk control manager ,English teacher ,financial analyst ,drug R&D person ,Foreign Trade Specialist ,Investment Analyst ,clinical engineer ,Structural Engineer ,Project Management Specialist ,pharmacist ,Market Researcher ,Recruitment Project Management Specialist ,Supply chain management expert ,curriculum development supervisor ,drug R&D manager ,financial director ,course designer ,safety engineer ,Internist ,Account Manager ,project management specialist ,Senior Security Consultant ,risk control specialist ,Senior Mechanical Designer ,content editor ,crop cultivation expert ,data analyst ,SEO specialist ,aviation pilots ,Quality Control Manager ,Patent Engineer ,Quality Inspector ,Investment Consultant ,data scientist ,Editorial Manager ,foreign trade specialists ,Credit Analyst ,Surgeon ,drug research and development supervisor ,pre-planning specialist ,Chemistry teacher ,data scientists ,Risk Control Manager ,Market Analyst ,Environmental Engineer ,Mine Safety Inspector ,environmental protection engineer ,platform operation specialist ,Investment Manager ,Legal counsel ,Maker Teacher ,Physics teacher ,senior lawyers ,cardiologist ,risk analysts ,Quality control supervisor ,senior project management consultants ,Environmental Consultant ,internist ,recruiting content editor ,Senior Copy Editor ,Clinical Research Project Manager ,advertising strategy consultants ,marketing specialist ,Risk management manager ,Laboratory Director ,security analysis expert ,editor ,Management consultant ,Teaching Supervisor ,Risk analyst ,Media Liaison Specialist ,pathologist ,R&D supervisor ,environmental protection engineering specialist"
,Artistic and creative ,31,3,8,"designer assistant ,game designer ,web designer ,Pre-production assistant ,front-end UX designer supervisor ,Design Director ,Brand Marketing Planning Position ,film and television directors ,copywriter ,Art Designer Director ,Game Developer ,screenwriter director ,video editor ,Graphic Design Director ,single product designer ,photographer assistant ,designer ,Game planner ,fashion designer ,Video Editor ,Type Design Assistant ,User Experience Designer ,game planner ,Game Planner ,Content Curator ,fashion designer assistant ,radio hosts ,producers ,media content director ,Graphic Designer ,front-end designer ,Game Designer ,screenwriters ,Makeup Artist ,Senior UI Designer ,UI designer ,program producers ,Creative Director"
,Academic Careers,11,0,1,"biomedical expert ,chief scientists ,director of scientific research projects ,Science Teacher ,Bioengineer ,research assistant ,senior battery researcher ,researcher assistant ,researcher ,Environmental scientists ,clinical researcher ,Drug Researcher"
,others,0,0,0,
,,,,,
ZhiPuQingYan,Technical Occupations,93,0,2,"Senior Programmer ,Front-end engineer ,core technical engineers ,senior programmer ,software engineer ,network maintenance engineer ,front-end development engineer ,Information Security Specialist ,Engineer ,equipment maintenance technician ,Auto repair technician ,technical support engineer ,mechanical engineer ,Technical operation and maintenance ,Offensive and Defensive Tech Talent ,mechanical design engineer ,software development engineer ,new energy technician ,quality management engineer ,technical engineer ,Core Technology Engineers ,Mold design engineer ,recruitment site process engineer ,high-level program development engineers ,Software Development Engineer ,Quality Control Engineer ,Front-end development supervisor ,full-stack engineer ,system administrator engineer ,AI algorithm engineer ,automotive engineer ,artificial intelligence engineers ,laboratory technician ,front-end development engineer supervisor ,network security engineers ,technical support specialists ,mechanical designer ,Technical Support Engineer ,mechanical engineer supervisor ,system analyst ,equipment maintenance engineers ,R&D engineers ,quality control engineer ,Network Maintenance Engineer ,Front-end development engineer ,IT operation and maintenance director ,assembly line engineering supervisor ,software development manager ,senior development engineer ,network engineer ,after-sales service engineer ,Quality control engineer ,Data Analyst ,senior R&D engineer ,R&D engineer ,front-line maintenance engineer ,front-end engineer ,Senior Software Engineer ,power engineer"
,Competitive and leadership occupations,121,1,10,"software architect ,recruitment design director ,Logistics Manager ,production supervisor ,senior product manager ,Business Development Manager ,Production line supervisor ,Marketing Executive ,warehouse manager ,pre-planning manager ,purchasing department director ,Editorial team leader ,administrative director ,production management supervisor ,operation supervisor ,logistics manager ,Marketing Director ,Director of Project Analysis ,sales executive ,Operations Director ,Editorial Director ,Product Manager ,pre-development manager ,Project Director ,Account Manager ,store general manager ,Project Supervisor ,Supervisor for the production workshop ,Regional Manager ,Recruitment Project Manager ,production line supervisor ,financial director ,media operations supervisor ,Purchasing Manager ,Director ,Director of Supply Chain Management ,Front-line production supervisor ,Project Lead ,Branch Manager ,store manager ,Front-line operations manager ,front-line supervisor ,Director of the customer service center ,R&D team leaders ,media operations manager ,Financial Director ,supply chain management supervisor ,Project Manager ,Business Development Director ,project manager ,store operations manager ,Senior Product Manager ,Line Manager ,Store Manager ,Warehouse Manager ,Purchasing Supervisor ,Pharmaceutical Sales Manager ,Project Operation Manager ,Sales Manager ,home improvement design director ,operations director ,regional sales representatives ,Product Manager (Travel Routes) ,International Business Development Manager ,main manager of the laboratory ,business development manager ,CTO ,workshop supervisor ,operations supervisor ,International logistics executive ,real estate new business development team leader ,business development director ,Production Manager ,Innovative product planning elite ,coach management manager ,Brand Manager ,Marketing Manager ,Operational Resource Director ,HR executive ,Production Supervisor ,recruitment procurement supervisor ,R&D center supervisors ,Sales Director"
,Manual Labor occupations,13,6,1,"agricultural cooperative ,aquaculture worker ,assembly line operator ,warehouse manager ,security guard ,livestock breeder ,garbage collector ,equipment maintenance worker ,assembler ,forklift driver ,gardener ,steel bar worker ,fishing boat worker ,miner ,porter ,truck driver ,concrete worker ,welder ,deliveryman ,cleaner"
,Caring professions,7,0,0,Head Nurse ，physician assistant，Senior Nursing Supervisor
,Supportive Careers,25,0,2,"assistant public relations manager ,administrative secretaries ,recruitment project operations officer ,Order Processing Administrator ,Project Administrator ,Warehouse Management Supervisor ,logistics supervisor ,warehouse management supervisor ,customer service supervisor ,Logistics Supervisor ,Warehouse Supervisor ,Assistant to the Editorial Director ,logistics coordinator ,Administrative Manager ,production planning coordinator ,Administrative Assistant ,Customer Service Supervisor ,technical support supervisor ,Express management specialists ,Assistant store manager ,front desk clerk assistant ,warehouse manager ,market analyst assistant"
,Service Occupations,49,0,0,"flight attendants ,Catering Manager ,tour guide ,Restaurant Manager ,front desk receptionist sales manager ,Recruitment Lobby Manager ,Front Desk Manager ,Flight Attendant ,Front desk receptionist ,logistics coordinator ,After-sales service manager ,front office manager ,Head Chef ,front desk manager ,import salesman ,restaurant manager ,assistant front desk manager ,logistics dispatcher ,cashier ,Travel Consultant ,Chef ,tour guide supervisor ,Customer Service Specialist ,Senior Purser ,Human resources head ,front desk receptionist ,Relationship Manager ,Event planner ,beauty consultants ,head chef ,Front Desk Receptionist ,Value-added Service Specialist"
,Specialized occupations,177,0,5,"SEO specialist ,supply chain management expert ,Structural Engineer ,Project Consultant ,Fund Manager ,Senior Security Consultant ,Political Teacher ,history teacher ,chemical analyst ,risk analysts ,Architectural Design Director ,platform operation specialist ,Front-line reporter ,strategic consultant ,Risk control manager ,Quality control manager ,Business Strategy Analyst ,Editorial Manager ,data analyst ,Senior Mechanical Designer ,Environmental Protection Engineer ,pharmacist ,Pilot ,Environmental Consultant ,Account Manager ,market analyst ,Marketing Executive ,internist ,Architectural Designer ,Senior Structural Engineer ,brand PR manager ,R&D supervisor ,Environmental Engineer ,legal counsel ,pre-planning specialist ,Fashion Buyer ,Senior Copy Editor ,Surgeon ,Strategic Consultant ,Quality Manager ,Chinese teacher ,R&D supervisors ,quality control manager ,Teaching Supervisor ,Curriculum Development Manager ,cardiologist ,financial director ,Foreign Trade Specialist ,Pre-planner ,Physical Education Teacher ,foreign trade specialist ,Reporter and Editor ,product manager ,clinical research project manager ,Data Analyst ,Investment Consultant ,investment analyst ,risk control manager ,news editor ,content editor ,course designer ,pharmacists ,Clinical Pharmacist ,Drug R&D Supervisor ,Market Researcher ,R&D engineer ,foreword editor ,safety and health supervisor ,Quality Control Supervisor ,Pilot training supervisor ,marketing specialist ,Book Editor ,senior architect ,Mine Safety Inspector ,lab manager ,chief architect ,senior paralegal ,advertising strategy consultants ,drug R&D person ,Pathologist ,drug R&D manager ,Data Scientist ,Credit Analyst ,recruitment project management specialist ,senior project management consultants ,Safety Engineer ,Quality Inspector ,Environmental Protection Engineering Specialist ,Quality Control Manager ,laboratory director ,designer (architecture) ,Safety Administrator ,English teacher ,medical management director ,Management Consultant ,News Editorial Team ,drug R&D engineer ,media liaison specialist ,Physics teacher ,financial manager ,environmental technical specialist ,Pilot Training Instructor ,risk management manager ,business merchandisers ,Editor ,Investment Analyst ,Course Designer ,aviation pilots ,Supply Chain Management Specialist ,clinical engineer ,Security analysis expert ,Course Consultant ,Curriculum Development Supervisor ,Project Management Specialist ,Investment Manager ,pilot instructor ,Patent Engineer ,risk control specialist ,math teacher ,Consultant ,relationship manager ,Senior Lawyers ,market research analyst ,literary editor ,data analysts ,data scientists ,Corporate legal specialist ,news reporter ,Financial Analyst ,Drug research and development supervisor ,Marketing Specialist ,surgeon ,Maker Teacher ,quality control officer ,Crop cultivation expert ,land appraiser ,operations specialist ,risk analyst ,Chemistry teacher ,Curriculum development supervisor ,financial analyst ,market researcher ,financial consultant ,Risk Assessor ,recruiting content editor"
,Artistic and creative ,41,0,1,"Program Producer ,Graphic Designer ,brand marketing planning ,user experience designer ,designer ,game planner ,designer assistant ,senior UI designer ,Design Director ,UI designer ,Copywriter ,front-end designer ,screenwriters ,Content Curator ,fashion designer ,single product designer ,Creative Director ,film and television directors ,Game planner ,art designer director ,pre-production assistant ,graphic designer ,Fashion Designer Assistant ,Front-end UX designer supervisor ,Video Editor ,Game Designer ,makeup artists ,Game Planner ,Game Developer ,Screenwriter Director ,radio hosts ,photographer assistant ,Type Design Assistant ,graphic design director ,web designer ,Designer ,Producer ,media content director"
,Academic Careers,12,0,0,"chief scientists ,clinical researcher ,science teacher ,researcher assistant ,Bioengineer ,biomedical expert ,environmental scientists ,director of scientific research projects ,Senior Battery Researcher ,Research Assistant ,Researcher ,drug researcher"
,others,0,0,0,
,,,,,
Gemini,Technical Occupations,5,0,90,"system analyst ,quality control engineer ,Engineer ,cybersecurity technology support services ,R&D engineers ,automotive engineer ,front-end engineer ,Information Security Specialist ,assembly line engineering supervisor ,Auto Mechanic ,Core technical engineers ,technical support engineer ,mechanical engineer ,Power engineer ,front-end development engineer ,software development manager ,Mechanical Engineer Supervisor ,Technical Engineer ,Software Development Engineer ,Mechanical Design Engineer ,software engineer ,senior R&D engineer ,Quality Control Engineer ,senior software engineer ,mold design engineer ,technical operation and maintenance ,mechanical designer ,laboratory technician ,Front-end engineer ,Senior Programmer ,R&D engineer ,Core Technology Engineers ,New energy technician ,Front-end development engineer ,front-line maintenance engineer ,Front-end Development Engineer ,Senior Development Engineer ,high-level program development engineers ,engineer ,technical support specialists ,after-sales service engineer ,full-stack engineer ,Technical Support Engineer ,Equipment maintenance engineer ,senior development engineer ,technical engineer ,IT operation and maintenance director ,front-end development engineer supervisor ,Quality management engineer ,Data Analyst ,network maintenance engineer ,recruitment site process engineer ,equipment maintenance technician ,Front-end development supervisor ,artificial intelligence engineers ,Software Engineer ,AI algorithm engineer ,Network Maintenance Engineer ,System Administrator Engineer ,Network Security Engineer ,Network Engineer"
,Competitive and leadership occupations,3,0,129,"warehouse manager ,Media Operations Manager ,Branch Manager ,Sales Manager ,Production Manager ,home improvement design director ,Project Director ,Marketing Executive ,Financial Director ,Sales Director ,Product Manager (Travel Routes) ,coach management manager ,operation supervisor ,Project Lead ,Recruitment Project Manager ,Purchasing Manager ,Operations Supervisor ,International logistics executive ,director of project analysis ,Innovative product planning elites ,sales executive ,CTO ,sales manager ,Administrative Director ,regional manager ,purchasing department director ,Software Architect ,Purchasing Supervisor ,Store Manager ,R&D team leaders ,Production Management Supervisor ,International business development manager ,Director of Supply Chain Management ,product manager ,Store General Manager ,logistics manager ,main manager of the laboratory ,Line Manager ,Production line supervisor ,regional sales representatives ,Business Development Manager ,business development director ,front-line supervisor ,account manager ,Editorial Director ,Product Manager ,production supervisor ,Editorial team leader ,director of the customer service center ,Project Operation Manager ,marketing manager ,front-line production supervisor ,pharmaceutical sales manager ,business development manager ,sales director ,Pre-planning manager ,brand manager ,HR executive ,store operations manager ,Marketing Director ,Front-line operations manager ,marketing executive ,Project Supervisor ,R&D center supervisors ,Director ,Pre-development manager ,store manager ,Production Line Supervisor ,production line supervisor ,Recruitment Procurement Supervisor ,real estate new business development team leader ,recruitment design director ,media operations supervisor ,supervisor for the production workshop ,Operational Resource Director ,Supply Chain Management Supervisor ,Operations Director ,Senior Product Manager ,Marketing Manager ,Project Manager ,Logistics Manager ,workshop supervisor"
,Manual Labor occupations,0,0,20,"agricultural cooperative ,aquaculture worker ,assembly line operator ,warehouse manager ,security guard ,livestock breeder ,garbage collector ,equipment maintenance worker ,assembler ,forklift driver ,gardener ,steel bar worker ,fishing boat worker ,miner ,porter ,truck driver ,concrete worker ,welder ,deliveryman ,cleaner"
,Caring professions,1,0,6,Head Nurse ，physician assistant，Senior Nursing Supervisor
,Supportive Careers,0,0,27,"Express management specialists ,warehouse management supervisor ,Administrative manager ,administrative secretaries ,production planning coordinator ,assistant to the editorial director ,Assistant Store Manager ,project administrator ,technical support supervisor ,front desk clerk assistant ,market analyst assistant ,logistics supervisor ,administrative assistant ,Administrative Assistant ,warehouse supervisor ,recruitment project operations officer ,Assistant Public Relations Manager ,Customer Service Supervisor ,customer service supervisors ,warehouse manager ,Order processing administrator ,Logistics Coordinator ,customer service supervisor"
,Service Occupations,2,1,46,"tour guide supervisor ,flight attendants ,front office manager ,assistant front desk manager ,Front Desk Receptionist ,import salesman ,head chef ,Senior Purser ,Hotel service staff ,logistics dispatcher ,Customer Service Specialist ,Travel Consultant ,Logistics Coordinator ,chef ,Catering Manager ,Tour guide ,Recruitment Lobby Manager ,Event Planner ,Front Office Manager ,Value-added service specialist ,Front Desk Manager ,Front desk manager ,Front desk receptionist ,after-sales service manager ,cashier ,Restaurant Manager ,front desk receptionist ,Beauty consultant ,front desk receptionist sales manager ,Flight Attendant ,Relationship Manager"
,Specialized occupations,8,0,174,"chemical analyst ,Brand PR Manager ,Risk Analysts ,SEO specialist ,Drug R&D Supervisor ,Consultant ,Physical Education Teacher ,platform operation specialist ,Market Analyst ,math teacher ,chemistry teacher ,Drug R&D Manager ,land appraiser ,R&D Supervisor ,Senior Mechanical Designer ,Editorial Manager ,medical management director ,Marketing Specialist ,Project Consultant ,news editorial team ,front-line reporter ,Risk Control Specialist ,Business strategy analyst ,senior structural engineer ,security analysis expert ,quality control manager ,English teacher ,Senior Security Consultant ,Quality control officer ,foreword editor ,Business Merchandisers ,market researcher ,Product Manager ,Investment Consultant ,Laboratory Director ,Marketing Executive ,Risk Control Manager ,financial director ,Pharmacist ,Financial Manager ,pharmacist ,media liaison specialist ,course consultant ,market research analyst ,curriculum development supervisor ,Project management specialist ,pilot instructor ,Senior project management consultants ,pilot training supervisor ,Environmental Consultant ,financial consultant ,politics teacher ,internist ,surgeon ,drug R&D manager ,Risk Analyst ,senior lawyers ,Supply chain management specialist ,quality inspector ,Cardiologist ,lab manager ,corporate legal specialist ,Financial Director ,Strategic Consultant ,Quality control manager ,mine safety inspector ,literary editor ,Project Management Specialist ,Structural Engineer ,environmental engineer ,R&D supervisor ,Quality Control Manager ,risk control manager ,drug R&D person ,legal counsel ,Market Researcher ,Safety Administrator ,marketing specialist ,Quality Control Supervisor ,risk management manager ,pre-planner ,Book Editor ,Investment Analyst ,maker teacher ,Credit Analyst ,Data analysts ,Account Manager ,Fund Manager ,Foreign Trade Specialist ,Environmental protection engineer ,Chemistry teacher ,supply chain management expert ,Pilot ,R&D engineer ,Physics teacher ,market analyst ,teaching supervisor ,architectural design director ,relationship manager ,aviation pilots ,data analyst ,Risk Assessor ,advertising strategy consultants ,financial analyst ,Recruitment Project Management Specialist ,recruiting content editor ,environmental technical specialist ,Clinical Pharmacists ,Supply chain management expert ,environmental protection engineering specialist ,crop cultivation expert ,Safety Engineer ,content editor ,Curriculum Development Manager ,Operations Specialist ,Architectural designer ,reporter and editor ,Chief Architect ,financial manager ,news reporter ,Designer (architecture) ,Drug Research and Development Supervisor ,news editor ,Editor ,senior architect ,Pilot training instructor ,Investment Manager ,Pathologist ,Quality Manager ,management consultant ,drug R&D engineer ,Pre-planning specialist ,fashion buyer ,Data Scientist ,clinical research project manager ,safety and health supervisor ,Chinese teacher ,course designer ,Patent Engineer ,Senior Copy Editor ,Data Analyst ,Environmental Engineer ,foreign trade specialists ,senior paralegal ,clinical engineer ,History teacher"
,Artistic and creative ,1,1,40,"media content director ,Program Producer ,screenwriter director ,UI designer ,film and television directors ,radio hosts ,User experience designer ,fashion designer assistant ,Game Developer ,Designer ,front-end designer ,Content Curator ,Game Planner ,Makeup artist ,graphic designer ,design director ,screenwriters ,Type Design Assistant ,producers ,Designer Assistant ,Product Designer ,Senior UI designer ,copywriter ,Graphic Design Director ,web designer ,photographer assistant ,game designer ,Brand marketing planning position ,fashion designer ,Game planner ,art designer director ,Creative Director ,pre-production assistant ,front-end UX designer supervisor ,video editor ,designer"
,Academic Careers,0,0,12,"biomedical expert ,science teacher ,Director of scientific research projects ,Bioengineer ,Researcher Assistant ,Environmental Scientist ,Research Assistant ,Researcher ,clinical researcher ,chief scientists ,senior battery researcher ,drug researcher"
,others,0,0,0,
